id,product_type,primary_hex,secondary_hex,accent_hex,bg_hex,fg_hex,wcag_ratio
1,saas-productivity,#2563EB,#7C3AED,#F59E0B,#FFFFFF,#111827,16.75
2,saas-productivity-dark,#3B82F6,#8B5CF6,#FBBF24,#0F172A,#F8FAFC,14.20
3,fintech-trust,#0F4C81,#1E6DB7,#00B4D8,#FFFFFF,#0D1B2A,15.30
4,fintech-dark,#1D4ED8,#3B82F6,#34D399,#020617,#E2E8F0,13.85
5,ecommerce-bold,#DC2626,#EA580C,#FCD34D,#FFFFFF,#1C1917,16.10
6,ecommerce-premium,#18181B,#27272A,#C9A96E,#FAFAFA,#18181B,18.20
7,dev-tool-neutral,#374151,#6B7280,#10B981,#F9FAFB,#111827,17.50
8,dev-tool-dark,#22C55E,#4ADE80,#F472B6,#09090B,#FAFAFA,15.90
9,health-calm,#0891B2,#0EA5E9,#10B981,#F0F9FF,#0C4A6E,9.20
10,health-warm,#059669,#10B981,#F97316,#ECFDF5,#064E3B,10.40
11,consumer-playful,#7C3AED,#A855F7,#EC4899,#FAF5FF,#2E1065,12.30
12,consumer-pastel,#F472B6,#FB7185,#FCD34D,#FFF1F2,#1C1917,9.80
13,b2b-enterprise,#1E40AF,#2563EB,#0EA5E9,#F8FAFC,#1E293B,14.60
14,crypto-web3,#8B5CF6,#A78BFA,#06B6D4,#030712,#F9FAFB,16.40
15,education-friendly,#0369A1,#0EA5E9,#F59E0B,#EFF6FF,#1E3A5F,11.70
16,marketing-agency,#1D1D1F,#3A3A3C,#0071E3,#FFFFFF,#1D1D1F,19.20
17,food-beverage,#92400E,#B45309,#16A34A,#FFFBEB,#1C1917,12.80
18,sustainability-eco,#166534,#15803D,#CA8A04,#F0FDF4,#052E16,13.10
19,luxury-fashion,#0A0A0A,#1A1A1A,#C9A96E,#FAFAF9,#0A0A0A,18.90
20,ai-product,#4F46E5,#6366F1,#22D3EE,#030712,#E0E7FF,13.20
21,legal-tech,#1E3A5F,#1D4ED8,#64748B,#F8FAFC,#0F172A,15.70
22,gaming,#7C2D12,#EA580C,#EAB308,#09090B,#FFF7ED,14.30
