id,pattern_name,section_type,components,vibe_fit,conversion_role
LP01,hero-problem-solution,hero,H1 headline;subheadline;dual CTA (primary/ghost);hero image or demo video,saas-product;ai-tool;startup,First impression and primary conversion entry; reduce bounce by naming the problem in the first 5 seconds
LP02,hero-benefit-led,hero,Outcome-driven H1;one-line value prop;single primary CTA;product UI screenshot,saas;b2b-enterprise;dev-tool,Communicate the end benefit before features; raises above-the-fold conversion intent
LP03,hero-with-form-capture,hero,Split layout;headline + bullet value props left;inline signup/lead form right,lead-gen;b2b-enterprise;fintech-trust,Capture intent at peak attention; shortens path from interest to lead
LP04,social-proof-logos,trust-bar,Row of client/partner logos;grayscale filter;"Trusted by N+ companies" label,b2b-saas;enterprise;fintech,Trust establishment; reduces skepticism immediately after hero
LP05,benefit-columns,features,3-column grid;icon + short title + 1-2 sentence description;no screenshots,simple products;early-stage startup;service,Communicate value props quickly; scannable above the fold
LP06,feature-showcase-alternating,features,Alternating left/right rows;screenshot or video + benefit copy;one feature per row,complex product;developer tool;dashboard,Educate on specific capabilities; reduce support tickets and pre-sale questions
LP07,bento-feature-grid,features,Asymmetric bento grid;feature tiles of varied sizes;icons + short labels + optional demo gif,modern saas;ai product;design tool,Visual differentiation and shareability; feels premium
LP08,outcome-before-after,features,Two-state visual (before vs after);annotated metrics delta;short caption,productivity;health-calm;marketing-agency,Make the transformation concrete; sharpen desire by showing the gap closed
LP09,how-it-works-steps,features,Numbered 3-4 step horizontal flow;icon + step title + one-line description per step,onboarding-heavy product;platform;service,Lower perceived effort; answer "how hard is this" before signup
LP10,use-case-tabs,features,Tab bar with 3-4 personas/roles;each tab shows tailored copy + screenshot,multi-persona product;platform,Personalized relevance; reduces pogo-sticking for non-primary persona
LP11,social-proof-testimonials,testimonials,Quote cards;avatar + name + role + company;optional star rating;3-4 visible with carousel,b2c;saas;e-learning;marketplace,Overcome objections; peer validation and authority building
LP12,case-study-spotlight,testimonials,Single featured customer;logo + headline result metric + quote + link to full story,b2b-enterprise;saas;consultancy,Concrete proof of ROI; converts evaluators who need a reference account
LP13,video-testimonial-wall,testimonials,Grid of short video testimonials;play overlay;captions;name + company labels,high-ticket saas;coaching;b2b-enterprise,Higher-credibility proof than text; reduces fear for high-consideration purchases
LP14,pricing-table,pricing,3-column tiers (Starter/Pro/Enterprise);highlighted middle tier;feature checklist;annual/monthly toggle,saas;subscription;freemium model,Primary revenue conversion point; anchoring with middle tier
LP15,pricing-single-cta,pricing,One plan focus;value framing;money-back or free-trial reassurance line;single CTA,early-stage saas;single-product;indie,Reduce choice paralysis; push undecided visitors to the one obvious action
LP16,faq-accordion,faq,Accordion with 6-10 common questions;schema markup for SEO;optional search input,all products,Reduce support load; address last-mile objections before purchase
LP17,objection-handling-faq,faq,Accordion grouped by objection theme (price/security/migration);each answer ends with reassurance,b2b-enterprise;fintech-trust;legal-tech,Defuse the specific fears that block conversion at the decision stage
LP18,final-cta-banner,cta,Full-width section;headline + single primary CTA;optional email input;contrasting background,all products,Last conversion attempt; captures scrollers who did not convert above
LP19,newsletter-signup,cta,Minimal email field + CTA;value prop copy ("Weekly tips for...");privacy reassurance,content;newsletter;blog;tool,Builds owned audience; lower commitment than full signup
LP20,risk-reversal-cta,cta,CTA flanked by guarantee badges (free trial;no card;cancel anytime);trust microcopy,saas;subscription;ecommerce-bold,Remove perceived risk at the moment of decision; lift CTA click-through
LP21,stats-bar,social-proof,3-5 bold metrics (users;revenue;uptime;NPS) with labels;optional animated count-up,b2b-saas;scale-stage startup;marketplace,Credibility signal; demonstrates traction and momentum
LP22,review-rating-strip,social-proof,Aggregate rating badges (G2;Capterra;Product Hunt);star average + review count,saas;b2b-enterprise;consumer-playful,Third-party validation; borrows trust from recognized review platforms
LP23,press-mentions-bar,social-proof,Row of media outlet logos;"As featured in" label;optional pull-quote,consumer-playful;media-editorial;startup,Authority transfer from known brands; reassures first-time visitors
LP24,comparison-table,comparison,Feature matrix vs 2-3 named competitors;honest gaps in small print;CTA after table,competitive market;switching product;challenger brand,Converts comparison shoppers; SEO value for "[product] vs [competitor]" queries
LP25,us-vs-old-way,comparison,Two-column contrast (old way vs new way);check/cross icons;short outcome lines,category-creator;disruptive product;ai-product,Reframe the status quo as the problem; justify switching cost
LP26,integration-grid,integrations,Logo grid of compatible tools/APIs;count badge;"Connects with N+ tools",saas;platform;api product,Reduces integration-risk objection; captures existing-toolchain buyers
LP27,api-developer-strip,integrations,Code snippet block;copy button;link to docs;SDK/language icons,developer tool;api product;infra-saas,Signals technical credibility; lowers evaluation friction for builders
LP28,interactive-demo,demo,Embedded sandbox or click-through prototype;no signup required;guided tooltip sequence,developer tools;complex saas;ai product,Highest-intent conversion action; removes fear of commitment
LP29,video-demo-embed,demo,Centered video with play overlay;auto-pause;required captions;compelling thumbnail,complex products;developer tools;enterprise,Increases time-on-page; show-don't-tell to build product confidence
LP30,product-tour-annotated,demo,Scrolling annotated screenshots;callout labels on key UI;sticky CTA,dashboard;analytics-dashboard;saas,Guide the eye through value moments; convert visitors who need to "see it work"
LP31,sticky-header-cta,navigation,Transparent-to-frosted header on scroll;logo + nav links + persistent primary CTA,all products,Persistent conversion entry point; recovers scrollers who missed the hero CTA
LP32,anchor-nav-jumplinks,navigation,Sticky in-page section nav;active-section highlight;smooth scroll to anchors,long-form landing;b2b-enterprise;documentation,Reduce navigation friction on long pages; help high-intent visitors reach pricing fast
