id,chart_type,library,a11y_notes,use_case,responsive
CT01,bar,recharts,Label each bar with value via label prop; use pattern fills for colorblind users; keyboard navigation via tabIndex,Compare values across discrete categories up to 12; e.g. sales per quarter by region,true
CT02,line,recharts,Add aria-label to ResponsiveContainer; use title+desc inside SVG; provide data table alternative,Show continuous trends over time on ordered data; e.g. active-user growth over 12 months,true
CT03,pie,recharts,Never use pie for >6 segments; always show legend with values; add aria-label per slice,Show proportions of a whole with max 5-6 clear segments; e.g. revenue split across 3 product lines,true
CT04,donut,recharts,Same as pie; center label must pass 4.5:1 contrast; avoid thin slices <5%,Same as pie when highlighting a central KPI; e.g. market share of 4 competitors with total % in center,true
CT05,scatter,recharts,Provide tooltip with both axis values; use shape+color encoding; include regression line description,Show correlation between two continuous variables and spot outliers; e.g. marketing budget vs conversions,true
CT06,area,recharts,Distinguish fills with pattern not just color; provide CSV export; ensure 3:1 contrast for stroke,Emphasize cumulative volume over time; stacked for composition; e.g. web traffic stacked by acquisition channel,true
CT07,heatmap,nivo,Use sequential accessible palette (ColorBrewer); provide value on focus; include legend scale,Reveal patterns in 2D matrices by intensity; e.g. user activity by hour of day and day of week,true
CT08,treemap,d3,Minimum cell area 40x40px; on-focus tooltip; provide list view toggle,Show hierarchy and proportions of a whole with many categories; e.g. spend by department and sub-category,true
CT09,funnel,nivo,Label each stage with value and %; announce conversion rates; RTL support,Show step-by-step conversion in a sequential process; e.g. sales pipeline lead to demo to proposal to close,true
CT10,gauge,recharts,Announce current value and thresholds verbally; use color + position encoding; avoid relying on color alone,Show a single KPI against a target or 0-100% range; e.g. real-time system uptime percentage,true
CT11,radar,chart.js,Add axis labels with sufficient contrast; provide numeric table fallback; limit to 6-8 axes,Compare multiple qualitative attributes across 2-4 entities; e.g. skills of candidate A vs B over 6 dimensions,true
CT12,bubble,chart.js,Encode size in aria-label (not just visually); min bubble size 8px for touch; legend required,"Scatter plot with a third dimension encoded in point size; e.g. countries by GDP, life expectancy and population",true
CT13,waterfall,d3,Annotate each step with signed value and running total; provide ordered data table alternative; encode positive/negative with shape+label not color alone; ensure focus order follows sequence,Show how positive and negative components build to a total; e.g. EBITDA variation from Q1 adding and subtracting factors,true
CT14,gantt,d3,"Group tasks beyond 50 rows; provide tabular schedule alternative with start, end and dependencies; keyboard focus per bar; encode dependencies with labels not color alone",Show tasks over time with duration and dependencies in projects; e.g. product launch timeline with milestones,false
CT15,sankey,d3,Annotate flow values; provide link list as alternative; high contrast node borders,Show flows and proportions between states or categories; e.g. web traffic from source to landing page to conversion,false
CT16,histogram,d3,Use color + pattern; label every bin; screen reader description of distribution shape,Show frequency distribution of a continuous variable; e.g. API response-time distribution in milliseconds,true
CT17,box-plot,d3,"Provide a statistics table alternative with median, quartiles and outliers; on-focus readout per group; encode groups with shape+label not color alone; add plain-language summary for non-technical readers","Compare statistical distributions (median, quartiles, outliers) across groups; e.g. salaries by department and seniority",true
CT18,violin,d3,Pair with a numeric density/quartile table alternative; on-focus value readout; encode groups with pattern+label not color alone; require 30+ points per group and note it for non-technical audiences,"Show full density distribution, more expressive than box plot; e.g. ticket-resolution times by incident type",true
CT19,choropleth,nivo,Use sequential accessible palette (ColorBrewer); provide a ranked region-value table alternative; on-focus value readout; normalize by area to avoid size distortion; never rely on color alone,Show variation of a metric by geographic region; e.g. e-commerce conversion rate by province or state,true
CT20,network-graph,d3,Cluster beyond 100 nodes; provide an adjacency or edge-list table alternative; keyboard focus traversal between nodes; label relationships not color alone; high contrast node borders,"Show relationships between nodes in a graph (social, dependencies, flows); e.g. dependency graph between platform microservices",false
CT21,timeline,nivo,Provide a chronological event list alternative; on-focus event readout; avoid overlapping simultaneous events; encode categories with icon+label not color alone,Show discrete events over time with narrative context; e.g. product milestone history of launches and key events,true
CT22,calendar-heatmap,nivo,Use sequential accessible palette (ColorBrewer); provide value on focus per day; include legend scale; never rely on color alone for intensity,Show daily activity across a full year (GitHub-style pattern); e.g. a developer's daily commits over the last year,true
CT23,sparkline,tremor,Minimum height 32px; always pair with numeric value; tooltip on hover/focus,Show a compact trend inside a table cell or KPI card; e.g. mini weekly-sales trend within a product table,true
CT24,kpi-card,tremor,"Expose the value and its context (delta, target, period) as text; announce trend direction verbally; encode variation with arrow+label not color alone; ensure 4.5:1 contrast on value","Show a single key number with context (variation, target, period); e.g. current-month revenue vs previous month and target",true
