id,name,mood,color_strategy,typography_role,spacing,motion_level,use_cases
S001,Clean Minimalist,clean-calm,monochromatic or max 2 colors; heavy use of neutral white space,small weight differences; rely on size hierarchy not weight,very generous (32-64px),low (opacity fades only),SaaS products; portfolios
S002,Flat Design,clean-bold,solid color blocks; no gradients or shadows; bold flat palette,medium weight geometric sans-serif paired with iconography,comfortable (16-24px),low (simple transitions),Apps mobile; dashboards
S003,Swiss/International,clean-functional,monochromatic with single functional accent; strict grid contrast,Helvetica or grotesque sans on a strict modular grid; asymmetric hierarchy,very generous (32-64px),low (minimal; precise transitions),Editorial; branding corporativo
S004,Scandinavian,clean-natural,muted earthy palette; warm wood tones over white,thin light weight humanist sans; quiet hierarchy,very generous (32-64px),low (gentle fades),E-commerce lifestyle; interior design
S005,Zen Minimal,clean-serene,calm beige and off-white base; single muted natural accent,thin light weight serif; large breathing-room hierarchy,very generous (32-64px),very low (almost none),Wellness; meditacion; finanzas
S006,Corporate Blue,professional-trustworthy,navy and blue palette signalling trust; white backgrounds; conservative accent,Inter or Source Sans with moderate weights; clear structured hierarchy,comfortable (16-24px),low (subtle slide/fade),Fintech; banca; seguros
S007,Enterprise SaaS,professional-utility,neutral grays with single utility accent; minimal chrome,small regular sans with sidebar density; tabular alignment,compact (4-12px),low (subtle slide/fade),B2B software; ERP; CRM
S008,Professional Services,professional-authority,dark conservative palette with restrained accent; authoritative contrast,elegant serif for headings; clean sans for body; quiet authority,comfortable (16-24px),low (subtle slide/fade),Consultoria; legal; contabilidad
S009,Government/Civic,professional-accessible,high-legibility neutral palette; AA-compliant contrast; no decoration,bold high-legibility sans; structured formal hierarchy,comfortable (16-24px),very low (prefers-reduced-motion default),Portales gubernamentales; servicios publicos
S010,Healthcare Corporate,professional-calm,calm blue-green palette; clean white backgrounds; trustworthy accent,clean medium weight sans; clear legible hierarchy,comfortable (16-24px),low (subtle slide/fade),Hospitales; clinicas; pharma
S011,Bubble UI,playful-friendly,saturated colorful fills; soft rounded shapes; multiple cheerful hues,rounded bubbly sans-serif; approachable friendly weight,comfortable (16-24px) with extra border-radius,medium-high (bouncy spring physics),Apps para ninos; juegos casuales
S012,Candy/Sweet,playful-sweet,pastel saturated gradients; soft sweet fills; multiple hues,rounded soft sans-serif; friendly approachable weight,comfortable (16-24px),medium-high (bouncy reveals),Food apps; lifestyle jovenes
S013,Memphis Design,playful-retro,bold primary color blocks with geometric patterns; high contrast,bold geometric display sans; pattern-driven hierarchy,comfortable (16-24px),medium (playful pop-in),Marcas creativas; editorial joven
S014,Cartoon/Illustrated,playful-warm,warm approachable palette; illustration-led color; character accents,friendly rounded sans paired with illustrated headings,comfortable (16-24px),medium (character motion; reveals),Onboarding; apps educativas
S015,Confetti/Celebration,playful-energetic,bright energetic palette; celebratory multi-hue bursts,bold playful sans; loud celebratory hierarchy,comfortable (16-24px),high (confetti; energetic motion),Apps de eventos; gamificacion
S016,Art Deco Luxury,exclusive-premium,deep black base with gold accents; ornate geometric contrast,ornate geometric serif for display; elegant body sans,very generous (32-64px),medium (gold shimmer; soft reveals),Joyeria; alta moda; relojes
S017,Modern Luxury,exclusive-premium,editorial white space with single elevated accent; restrained palette,elevated editorial sans; large display type; refined hierarchy,very generous (32-64px),medium (soft elegant reveals),Moda contemporanea; beauty premium
S018,Dark Luxury,exclusive-dark,deep blacks with gold and velvet accents; no white; exclusive contrast,thin elegant serif for headings; clean sans for body,very generous (32-64px) with subtle asymmetry,medium (gold shimmer; soft reveals),Whisky; coches premium; moda dark
S019,Minimalist Luxury,exclusive-premium,cream and neutral base; restrained quality palette; negative space,thin refined serif; large negative-space hierarchy,very generous (32-64px),very low (almost none),Joyeria fina; cosmetica high-end
S020,Resort/Hospitality Luxury,exclusive-premium,serene tropical palette with gold accents; aspirational warmth,elegant serif headings; airy body sans; aspirational hierarchy,very generous (32-64px),medium (soft serene reveals),Hoteles 5 estrellas; travel premium
S021,Dark Mode Tech,precise-dark,dark base with syntax-color accents; terminal-inspired contrast,monospace for code; clean sans for UI; technical hierarchy,compact (4-12px),low (subtle fades),Herramientas de desarrollo; IDEs
