id,category,guideline,animation_duration_ms,easing,reduced_motion_fallback
UX01,transition,Page route transitions should feel snappy not slow; slide or fade content in from the direction of navigation,200,"cubic-bezier(0.4,0,0.2,1)",opacity 0 to 1 only; no translation
UX02,transition,Modal and dialog entry should emerge from trigger element using scale+opacity for spatial continuity,250,"cubic-bezier(0.34,1.56,0.64,1)",opacity fade only; skip scale
UX03,transition,Drawer/sheet slide-in from edge should match the edge it enters from (right drawer slides from right),300,"cubic-bezier(0.32,0.72,0,1)",instant show; no slide
UX04,transition,Color theme switch (light/dark) should crossfade all surfaces to avoid jarring flash,300,ease-in-out,instant switch; no crossfade
UX05,transition,Shared-element transitions (Material container transform) morph a card into a detail view preserving bounds,300,"cubic-bezier(0.2,0,0,1)",cut to detail view; no morph
UX06,transition,Hero/banner parallax on route entry should be subtle; cap translate to under 24px to avoid motion sickness,250,"cubic-bezier(0.4,0,0.2,1)",static hero; no parallax
UX07,transition,List-to-detail expansion should grow from the tapped row anchor to keep spatial relationship clear,280,"cubic-bezier(0.2,0,0,1)",instant detail open; no grow
UX08,transition,Onboarding step transitions should slide horizontally to reinforce linear progress through the flow,260,"cubic-bezier(0.4,0,0.2,1)",fade between steps; no slide
UX09,transition,Backdrop/scrim behind modals should fade to its target opacity in parallel with the surface entering,250,ease-out,instant scrim at full opacity; no fade
UX10,transition,Wizard/stepper back navigation should reverse the entry direction so motion mirrors the user mental model,260,"cubic-bezier(0.4,0,0.2,1)",fade only; no directional slide
UX11,feedback,Button press feedback (active state) must be immediate and tactile; scale-down to 96% on active,100,"cubic-bezier(0.4,0,1,1)",background color darken only; no scale
UX12,feedback,Form field focus ring should animate in to draw attention; use outline-offset expansion,150,ease-out,static focus ring; no animation
UX13,feedback,Error shake animation on wrong input (login fail) gives physical metaphor for rejection; 3 oscillations max,140,"cubic-bezier(0.36,0.07,0.19,0.97)",static error state with red border; no shake
UX14,feedback,Hover elevation on cards should lift shadow + translate up 2px to signal interactivity on pointer devices,120,ease-out,color or border highlight only; no lift
UX15,feedback,Ripple/state-layer on tap (Material) should radiate from the touch point to confirm the hit target,130,"cubic-bezier(0.4,0,0.2,1)",solid pressed background fill; no ripple
UX16,feedback,Switch and checkbox toggles should give an immediate snap so the state change reads as committed,100,"cubic-bezier(0.4,0,0.6,1)",instant checked state; no snap
UX17,feedback,Copy-to-clipboard confirmation should flash a brief check or label swap so the action is acknowledged,150,ease-out,static Copied label swap; no flash
UX18,feedback,Inline validation tick on a valid field should appear gently so it reassures without stealing focus,140,ease-out,static valid icon; no animation
UX19,feedback,Drag handle grab feedback should subtly scale or shadow the item to signal it is now movable,120,ease-out,cursor change and static shadow only; no scale
UX20,feedback,Disabled-action attempt should give a short non-jarring cue (e.g. micro nudge) instead of a full shake,140,"cubic-bezier(0.4,0,0.2,1)",static tooltip explaining why disabled; no nudge
UX21,loading,Skeleton screens should pulse with a subtle opacity cycle 0.6 to 1.0; not a spinner for content loading,1500,ease-in-out,static gray placeholder; no pulse
UX22,loading,Spinner rotation for async actions should be a 360deg continuous loop; expose speed via CSS custom property,1000,linear,text Loading shown; no spinner
UX23,loading,Shimmer sweep over skeletons should move in the reading direction at a calm pace to imply progress,1400,ease-in-out,static placeholder block; no shimmer sweep
UX24,loading,Indeterminate linear progress should sweep edge to edge so users know work is ongoing without a percentage,1200,"cubic-bezier(0.4,0,0.2,1)",static Loading label; no sweep
UX25,loading,Lazy-loaded image fade-in (blur-up) should resolve from a low-res placeholder to ease perceived load,1000,ease-out,instant swap to final image; no blur-up fade
UX26,loading,Pull-to-refresh spinner should reveal proportionally to drag then loop until the fetch resolves,1100,linear,static refresh control; no draw or loop
UX27,loading,Optimistic-UI placeholder for a just-sent item should pulse gently until the server confirms,1300,ease-in-out,static pending badge; no pulse
UX28,loading,Page-level loading bar (top of viewport) should creep forward then complete fast when the route resolves,1200,ease-out,static top loading label; no creep
UX29,micro-interaction,Toggle switch should animate thumb slide + background color in sync; do not animate them independently,200,"cubic-bezier(0.4,0,0.2,1)",instant state change; no slide
