id,heading_font,body_font,google_fonts_url,tailwind_snippet,mood,product_type
FP001,Playfair+Display,Source+Sans+Pro,https://fonts.googleapis.com/css2?family=Playfair+Display:wght@400;600;700&family=Source+Sans+Pro:wght@400;500&display=swap,font-['Playfair_Display'],editorial-elegant,media-editorial
FP002,Merriweather,Open+Sans,https://fonts.googleapis.com/css2?family=Merriweather:wght@400;600;700&family=Open+Sans:wght@400;500&display=swap,font-['Merriweather'],readable-warm,media-editorial
FP003,Lora,Lato,https://fonts.googleapis.com/css2?family=Lora:wght@400;600;700&family=Lato:wght@400;500&display=swap,font-['Lora'],warm-personal,marketing-agency
FP004,Cormorant+Garamond,Proza+Libre,https://fonts.googleapis.com/css2?family=Cormorant+Garamond:wght@400;600;700&family=Proza+Libre:wght@400;500&display=swap,font-['Cormorant_Garamond'],luxury-elegant,luxury-fashion
FP005,EB+Garamond,Nunito,https://fonts.googleapis.com/css2?family=EB+Garamond:wght@400;600;700&family=Nunito:wght@400;500&display=swap,font-['EB_Garamond'],classic-balanced,education-friendly
FP006,Libre+Baskerville,Libre+Franklin,https://fonts.googleapis.com/css2?family=Libre+Baskerville:wght@400;600;700&family=Libre+Franklin:wght@400;500&display=swap,font-['Libre_Baskerville'],readable-trustworthy,media-editorial
FP007,Spectral,Roboto,https://fonts.googleapis.com/css2?family=Spectral:wght@400;600;700&family=Roboto:wght@400;500&display=swap,font-['Spectral'],editorial-versatile,dev-tool-neutral
FP008,Crimson+Pro,Work+Sans,https://fonts.googleapis.com/css2?family=Crimson+Pro:wght@400;600;700&family=Work+Sans:wght@400;500&display=swap,font-['Crimson_Pro'],refined-readable,media-editorial
FP009,DM+Serif+Display,DM+Sans,https://fonts.googleapis.com/css2?family=DM+Serif+Display:wght@400;600;700&family=DM+Sans:wght@400;500&display=swap,font-['DM_Serif_Display'],modern-coherent,saas-productivity
FP010,Fraunces,Inter,"https://fonts.googleapis.com/css2?family=Fraunces:ital,opsz,wght@0,9..144,400;0,9..144,600;0,9..144,700&family=Inter:wght@400;500&display=swap",font-['Fraunces'],modern-friendly,consumer-playful
FP011,Montserrat,Merriweather,https://fonts.googleapis.com/css2?family=Montserrat:wght@400;600;700&family=Merriweather:wght@400;500&display=swap,font-['Montserrat'],editorial-warm,media-editorial
FP012,Raleway,Source+Serif+Pro,https://fonts.googleapis.com/css2?family=Raleway:wght@400;600;700&family=Source+Serif+Pro:wght@400;500&display=swap,font-['Raleway'],elegant-professional,marketing-agency
FP013,Josefin+Sans,Libre+Baskerville,https://fonts.googleapis.com/css2?family=Josefin+Sans:wght@400;600;700&family=Libre+Baskerville:wght@400;500&display=swap,font-['Josefin_Sans'],vintage-fashion,luxury-fashion
FP014,Nunito,Lora,https://fonts.googleapis.com/css2?family=Nunito:wght@400;600;700&family=Lora:wght@400;500&display=swap,font-['Nunito'],friendly-warm,education-friendly
FP015,Poppins,Lato,https://fonts.googleapis.com/css2?family=Poppins:wght@400;600;700&family=Lato:wght@400;500&display=swap,font-['Poppins'],modern-clean,saas-productivity
FP016,Inter,Inter,https://fonts.googleapis.com/css2?family=Inter:wght@400;600;700&display=swap,font-['Inter'],technical-system,dev-tool-neutral
FP017,Roboto,Roboto+Slab,https://fonts.googleapis.com/css2?family=Roboto:wght@400;600;700&family=Roboto+Slab:wght@400;500&display=swap,font-['Roboto'],familiar-consistent,consumer-playful
FP018,Open+Sans,Open+Sans+Condensed,https://fonts.googleapis.com/css2?family=Open+Sans:wght@400;600;700&family=Open+Sans+Condensed:wght@400;500&display=swap,font-['Open_Sans'],compact-newsy,media-editorial
FP019,Work+Sans,Crimson+Text,https://fonts.googleapis.com/css2?family=Work+Sans:wght@400;600;700&family=Crimson+Text:wght@400;500&display=swap,font-['Work_Sans'],creative-literary,marketing-agency
FP020,Outfit,Noto+Serif,https://fonts.googleapis.com/css2?family=Outfit:wght@400;600;700&family=Noto+Serif:wght@400;500&display=swap,font-['Outfit'],modern-global,b2b-enterprise
FP021,Space+Grotesk,Space+Mono,https://fonts.googleapis.com/css2?family=Space+Grotesk:wght@400;600;700&family=Space+Mono:wght@400;500&display=swap,font-['Space_Grotesk'],technical-developer,dev-tool-neutral
FP022,IBM+Plex+Sans,IBM+Plex+Serif,https://fonts.googleapis.com/css2?family=IBM+Plex+Sans:wght@400;600;700&family=IBM+Plex+Serif:wght@400;500&display=swap,font-['IBM_Plex_Sans'],corporate-systematic,b2b-enterprise
FP023,JetBrains+Mono,Inter,https://fonts.googleapis.com/css2?family=JetBrains+Mono:wght@400;600;700&family=Inter:wght@400;500&display=swap,font-['JetBrains_Mono'],technical-developer,dev-tool-neutral
